Function,Initialization,Mutation,Mean,Median,Std,Best,Worst
Sphere-2d,random,StandardABC,5.263878142015632e-13,4.732482613650214e-14,6.496693503494846e-13,2.3328481597297342e-17,1.552669850414941e-12
Rosenbrock-2d,random,StandardABC,0.08636574747478443,0.08601145412809592,0.06001263353552408,0.006445575679493599,0.18354547868130852
Ackley-2d,random,StandardABC,7.140606328448485e-10,1.908144753315355e-10,1.4474135246220558e-09,3.609557097661309e-12,4.998202740580382e-09
Rastrigin-2d,random,StandardABC,0.0,0.0,0.0,0.0,0.0
Griewank-2d,random,StandardABC,4.7104709022249835e-11,1.887379141862766e-15,1.3874095327340887e-10,0.0,4.63301397246596e-10
Schwefel-2d,random,StandardABC,2.5455132345086895e-05,2.5455132345086895e-05,0.0,2.5455132345086895e-05,2.5455132345086895e-05
Sumsquares-2d,random,StandardABC,1.678530662559693e-14,5.083091478354304e-16,3.1138129276909574e-14,2.0617496537530605e-17,1.0430091961760517e-13
Eggholder,random,StandardABC,-958.5685886160661,-959.6404769179259,3.182832966765916,-959.640662720851,-949.0203082841772
Sphere-30d,random,StandardABC,8.241410645865665e-07,7.615244593015475e-07,4.0598577818614463e-07,2.8484569528411885e-07,1.7378296381891281e-06
Rosenbrock-30d,random,StandardABC,22.85001884244318,23.74632310636639,2.3917450277549253,17.366523712280664,25.855953871317997
Ackley-30d,random,StandardABC,2.216703660486985e-05,1.6302548040414422e-05,1.6694282246101985e-05,9.875979568363391e-06,6.932183507402101e-05
Rastrigin-30d,random,StandardABC,4.565257464348724,5.086841298057379,2.045356504352293,0.00048478065059498476,7.098113511210727
Griewank-30d,random,StandardABC,0.007094866827391533,0.001142258994153933,0.009998298884735425,0.00010372841633665697,0.027258669477165154
Schwefel-30d,random,StandardABC,771.3737837534061,732.141058979555,132.43707935848016,598.1644039598868,1005.6013478754576
Sumsquares-30d,random,StandardABC,1.330313646178097e-06,6.020700492551755e-07,1.8788986304058853e-06,7.050448123262829e-08,6.625012399203041e-06
