Function,Initialization,Mutation,Mean,Median,Std,Best,Worst
Sphere-2d,random,ModifiedABC,1.820445445729301e-10,1.2863187975266443e-11,3.1439534852055127e-10,2.935744827142465e-16,9.411088944098577e-10
Sphere-2d,cahotic,ModifiedABC,1.7079918948364194e-10,5.3702646262888347e-11,3.509231878271526e-10,1.922305657328501e-12,1.213028223824204e-09
Sphere-2d,random,ABC/best/1,6.425927773088753e-11,2.4265339760784797e-11,1.2057390724379548e-10,1.0274004657688018e-13,4.165277765557379e-10
Sphere-2d,cahotic,ABC/best/1,3.966469167433836e-11,1.807303453824805e-11,5.348093774813915e-11,2.336610223006667e-14,1.816673278177072e-10
Sphere-2d,random,ABC/best/2,3.8058886153765774e-10,1.1602236458920373e-10,4.592145180643923e-10,1.6143915706480265e-12,1.3542566322746591e-09
Sphere-2d,cahotic,ABC/best/2,8.151244917920241e-10,2.9847464941816233e-10,1.2473692179078777e-09,2.3771885185307047e-12,4.267363577645639e-09
Rosenbrock-2d,random,ModifiedABC,4.145357399724e-15,5.364078900958756e-17,8.246336225373973e-15,1.90644000476227e-18,2.3246963226901573e-14
Rosenbrock-2d,cahotic,ModifiedABC,0.002080177039567233,3.0995280394815655e-13,0.006226498663850638,3.065806280260966e-17,0.02075963919311718
Rosenbrock-2d,random,ABC/best/1,1.4532630033272852e-11,4.534491606417306e-12,3.1856846136056395e-11,1.3893408408133369e-14,1.0966848325471789e-10
Rosenbrock-2d,cahotic,ABC/best/1,0.046385021661999995,0.003587466708040006,0.08395239562512613,0.0002467400471235312,0.2573557665170738
Rosenbrock-2d,random,ABC/best/2,0.00013771315278827864,5.442082475616856e-05,0.0002267828208596338,5.548481651653018e-06,0.0007946827634876072
Rosenbrock-2d,cahotic,ABC/best/2,0.05642833996394059,0.02453884399966258,0.06847755193775716,0.00016233402115197658,0.22590312567328455
Ackley-2d,random,ModifiedABC,2.5294900041217262e-08,1.8730215600726297e-08,1.7318762968567876e-08,5.51223422462499e-09,5.670582936545543e-08
Ackley-2d,cahotic,ModifiedABC,2.4893924432944913e-08,2.52708733938789e-08,1.6584645098211662e-08,3.353086697188701e-10,5.784677625797485e-08
Ackley-2d,random,ABC/best/1,1.2977345420495112e-08,1.0394080263154137e-08,1.2364708396662138e-08,1.2563816653710091e-10,4.2372537478740924e-08
Ackley-2d,cahotic,ABC/best/1,1.395244808577445e-08,7.57260032457907e-09,1.667833041979797e-08,6.681304398625798e-10,5.91273838779216e-08
Ackley-2d,random,ABC/best/2,2.4322462266468392e-08,2.064135351531604e-08,1.8171564246837268e-08,4.644267193043561e-09,6.503120175693766e-08
Ackley-2d,cahotic,ABC/best/2,4.408136895506232e-08,2.7591955387151756e-08,5.416388748127698e-08,2.0733281758111843e-10,1.9653120730822593e-07
Rastrigin-2d,random,ModifiedABC,0.0,0.0,0.0,0.0,0.0
Rastrigin-2d,cahotic,ModifiedABC,0.0,0.0,0.0,0.0,0.0
Rastrigin-2d,random,ABC/best/1,0.09949590580933432,3.611333454500709e-11,0.2984877170947063,1.1688428003253648e-12,0.9949590570934532
Rastrigin-2d,cahotic,ABC/best/1,1.1969163438152463e-10,2.1229240587672393e-11,2.5489196839118993e-10,4.973799150320701e-13,8.758291869526147e-10
Rastrigin-2d,random,ABC/best/2,1.2276153427137616e-10,6.931699658707657e-11,1.2106400022618988e-10,4.227729277772596e-13,4.0174086279876065e-10
Rastrigin-2d,cahotic,ABC/best/2,4.582805246400312e-10,2.3714363805993344e-10,6.126896739280959e-10,1.5631940186722204e-13,2.1159038965379295e-09
Griewank-2d,random,ModifiedABC,2.2204460492503132e-17,0.0,4.440892098500627e-17,0.0,1.1102230246251565e-16
Griewank-2d,cahotic,ModifiedABC,0.9216127190307306,0.016041191266694066,2.718244367608463,6.635247443043113e-06,9.076211382332302
Griewank-2d,random,ABC/best/1,7.771561172376095e-17,1.1102230246251565e-16,5.087681048627601e-17,0.0,1.1102230246251565e-16
Griewank-2d,cahotic,ABC/best/1,0.006501786373539464,0.0014392705578545328,0.010077388094544708,1.1102230246251565e-16,0.033667534934162746
Griewank-2d,random,ABC/best/2,8.881784197001253e-17,1.1102230246251565e-16,4.4408920985006264e-17,0.0,1.1102230246251565e-16
Griewank-2d,cahotic,ABC/best/2,2.3941985224748192,0.04297377956024573,4.9810904799111135,1.409912380179179e-07,15.482354886543408
Schwefel-2d,random,ModifiedABC,2.5455132345086895e-05,2.5455132345086895e-05,0.0,2.5455132345086895e-05,2.5455132345086895e-05
Schwefel-2d,cahotic,ModifiedABC,2.568220638750063e-05,2.5474659480551054e-05,5.379096228662983e-07,2.5455132799834246e-05,2.7275050570096937e-05
Schwefel-2d,random,ABC/best/1,2.545518329952756e-05,2.5455140416852373e-05,5.845787365987748e-11,2.545513302720792e-05,2.5455265131313354e-05
Schwefel-2d,cahotic,ABC/best/1,2.5455383968164826e-05,2.5455152922404523e-05,6.145375617395421e-10,2.5455132458773733e-05,2.5457217134317034e-05
Schwefel-2d,random,ABC/best/2,11.84385902514084,2.545516508689616e-05,35.531500709797015,2.545513711993408e-05,118.43836115453189
Schwefel-2d,cahotic,ABC/best/2,2.54561277074572e-05,2.5455164404775132e-05,2.601447147456646e-09,2.545513314089476e-05,2.546391010582738e-05
Sumsquares-2d,random,ModifiedABC,1.3051883301432421e-11,6.505961076844748e-12,1.5422200186845935e-11,6.911970332964494e-14,5.060687242169559e-11
