Function,Initialization,Diversity
Sphere-2d,random,2.551689501094877
Sphere-2d,random,2.582047307109752
Sphere-2d,random,2.918917701855421
Sphere-2d,random,2.2639446520221824
Sphere-2d,random,2.7837820544520575
Sphere-2d,random,2.722764190185153
Sphere-2d,random,2.8314285422264867
Sphere-2d,random,2.601431412105332
Sphere-2d,random,2.993306785883081
Sphere-2d,random,2.4469418728479386
Sphere-2d,random,3.2587492158244737
Sphere-2d,random,2.771069053214207
Sphere-2d,random,2.812358924337297
Sphere-2d,random,2.5400690507086994
Sphere-2d,random,2.761520611562415
Sphere-2d,cahotic,2.7843719565986604
Sphere-2d,cahotic,2.849703615685154
Sphere-2d,cahotic,2.7569041612675336
Sphere-2d,cahotic,2.834471278840549
Sphere-2d,cahotic,2.6564960688237447
Sphere-2d,cahotic,2.685096701112732
Sphere-2d,cahotic,2.7657643629859523
Sphere-2d,cahotic,2.6719387997825574
Sphere-2d,cahotic,2.6366517740213156
Sphere-2d,cahotic,3.0310877581357056
Sphere-2d,cahotic,2.8686846106111266
Sphere-2d,cahotic,2.942327117690194
Sphere-2d,cahotic,2.554677688522699
Sphere-2d,cahotic,2.4445940952542076
Sphere-2d,cahotic,2.494670722320274
Rosenbrock-2d,random,0.9962094817689504
Rosenbrock-2d,random,1.0596772402727699
Rosenbrock-2d,random,1.096934966271045
Rosenbrock-2d,random,1.004139861064165
Rosenbrock-2d,random,1.193935362868676
Rosenbrock-2d,random,1.0068474829686658
Rosenbrock-2d,random,1.1603669976971662
Rosenbrock-2d,random,1.04644194359707
Rosenbrock-2d,random,1.0343522814137913
Rosenbrock-2d,random,1.051690641394604
Rosenbrock-2d,random,1.1128450357661976
Rosenbrock-2d,random,1.0436419578978622
Rosenbrock-2d,random,1.0692871279360663
Rosenbrock-2d,random,1.0599871287249747
Rosenbrock-2d,random,1.0862080573200599
Rosenbrock-2d,cahotic,1.1721332419164845
Rosenbrock-2d,cahotic,1.1333496055887502
Rosenbrock-2d,cahotic,1.02915696601335
Rosenbrock-2d,cahotic,1.1532669574478234
Rosenbrock-2d,cahotic,1.1976852483672935
Rosenbrock-2d,cahotic,1.077690257993
Rosenbrock-2d,cahotic,1.0455193926045605
Rosenbrock-2d,cahotic,0.9844267938335273
Rosenbrock-2d,cahotic,0.9780838861461845
Rosenbrock-2d,cahotic,1.0933518159132478
Rosenbrock-2d,cahotic,0.9241308159964032
Rosenbrock-2d,cahotic,1.18573492864563
Rosenbrock-2d,cahotic,0.9898096824933758
Rosenbrock-2d,cahotic,0.9789577258989801
Rosenbrock-2d,cahotic,1.1601378375444265
Ackley-2d,random,2.4987232902934844
Ackley-2d,random,2.561670584245263
Ackley-2d,random,2.7857309397789574
Ackley-2d,random,2.719848845008562
Ackley-2d,random,2.465785626407869
Ackley-2d,random,2.373400827919201
Ackley-2d,random,2.8032183794061836
Ackley-2d,random,2.4581338365403944
Ackley-2d,random,2.4813889662238577
Ackley-2d,random,2.7366071983357205
Ackley-2d,random,2.7051206039447067
Ackley-2d,random,2.8621927398091005
Ackley-2d,random,2.705305684327758
Ackley-2d,random,2.57383965802572
Ackley-2d,random,2.4768475300974333
Ackley-2d,cahotic,2.790844496207272
Ackley-2d,cahotic,2.5447834666334415
Ackley-2d,cahotic,2.1708046095356095
Ackley-2d,cahotic,2.680855235295668
Ackley-2d,cahotic,2.686852012580665
Ackley-2d,cahotic,2.750318854202808
Ackley-2d,cahotic,2.9617662691489643
Ackley-2d,cahotic,2.8549023445082082
Ackley-2d,cahotic,2.9051449281407007
Ackley-2d,cahotic,2.8210446577301114
Ackley-2d,cahotic,2.382088249831779
Ackley-2d,cahotic,2.739945789922879
Ackley-2d,cahotic,2.740987103758457
Ackley-2d,cahotic,2.5175329447827597
Ackley-2d,cahotic,2.810596235879837
Rastrigin-2d,random,2.240303425755423
Rastrigin-2d,random,2.627573708335167
Rastrigin-2d,random,2.8923887066446796
Rastrigin-2d,random,2.750514744434528
Rastrigin-2d,random,2.550492726117127
Rastrigin-2d,random,2.782279612846111
Rastrigin-2d,random,2.3953049298508504
Rastrigin-2d,random,2.7693808331189915
