Function,Initialization,Mutation,OptValue
Sphere-2d,random,StandardABC,4.609125172164193e-14
Sphere-2d,random,StandardABC,5.14682015508029e-12
Sphere-2d,random,StandardABC,2.003653863756116e-12
Sphere-2d,random,StandardABC,1.7442451097601417e-13
Sphere-2d,random,StandardABC,7.444338776155779e-16
Sphere-2d,random,StandardABC,1.4322480377988547e-12
Sphere-2d,random,StandardABC,1.935904947594445e-13
Sphere-2d,random,StandardABC,9.415079985465752e-17
Sphere-2d,random,StandardABC,1.605784264112324e-14
Sphere-2d,random,StandardABC,1.3127182432770813e-15
Sphere-2d,random,StandardABC,4.2788438517754805e-16
Sphere-2d,random,StandardABC,3.282483837362289e-12
Sphere-2d,random,StandardABC,8.018862786526024e-14
Sphere-2d,random,StandardABC,2.655801963358287e-16
Sphere-2d,random,StandardABC,1.3122359614144128e-13
Sphere-2d,cahotic,StandardABC,4.41201413898826e-16
Sphere-2d,cahotic,StandardABC,9.12402641689306e-14
Sphere-2d,cahotic,StandardABC,6.480930308765879e-15
Sphere-2d,cahotic,StandardABC,2.1264734503485487e-12
Sphere-2d,cahotic,StandardABC,1.5060899090775927e-17
Sphere-2d,cahotic,StandardABC,6.992822795780146e-14
Sphere-2d,cahotic,StandardABC,2.1336542811564254e-15
Sphere-2d,cahotic,StandardABC,3.912555461685898e-16
Sphere-2d,cahotic,StandardABC,4.884850450816457e-14
Sphere-2d,cahotic,StandardABC,2.4032360182935737e-14
Sphere-2d,cahotic,StandardABC,2.018450764194365e-13
Sphere-2d,cahotic,StandardABC,1.0732389996588932e-15
Sphere-2d,cahotic,StandardABC,6.635163185510242e-17
Sphere-2d,cahotic,StandardABC,5.934427640089914e-12
Sphere-2d,cahotic,StandardABC,1.5925736862268094e-14
Sphere-2d,random,ModifiedABC,2.301960008696129e-10
Sphere-2d,random,ModifiedABC,3.96443091352935e-10
Sphere-2d,random,ModifiedABC,3.042791796782388e-10
Sphere-2d,random,ModifiedABC,6.14545960349611e-11
Sphere-2d,random,ModifiedABC,8.942573094646958e-10
Sphere-2d,random,ModifiedABC,1.1511431177096596e-09
Sphere-2d,random,ModifiedABC,6.328435342283118e-12
Sphere-2d,random,ModifiedABC,3.983530266650663e-10
Sphere-2d,random,ModifiedABC,1.4246238857837205e-12
Sphere-2d,random,ModifiedABC,3.442802397284988e-11
Sphere-2d,random,ModifiedABC,2.487719167036437e-11
Sphere-2d,random,ModifiedABC,5.508328180933307e-10
Sphere-2d,random,ModifiedABC,1.766012291517861e-10
Sphere-2d,random,ModifiedABC,4.615910171997536e-10
Sphere-2d,random,ModifiedABC,1.3600936276196387e-09
Sphere-2d,cahotic,ModifiedABC,4.850066018538025e-11
Sphere-2d,cahotic,ModifiedABC,8.254871191166984e-11
Sphere-2d,cahotic,ModifiedABC,3.747440873592216e-11
Sphere-2d,cahotic,ModifiedABC,3.8418560144513995e-11
Sphere-2d,cahotic,ModifiedABC,2.576068856748083e-10
Sphere-2d,cahotic,ModifiedABC,4.225363342392185e-12
Sphere-2d,cahotic,ModifiedABC,5.319561712430251e-10
Sphere-2d,cahotic,ModifiedABC,1.7622296380769563e-09
Sphere-2d,cahotic,ModifiedABC,1.1734479388747816e-11
Sphere-2d,cahotic,ModifiedABC,7.405783698726582e-13
Sphere-2d,cahotic,ModifiedABC,1.1974151617566782e-10
Sphere-2d,cahotic,ModifiedABC,2.859461612861199e-12
Sphere-2d,cahotic,ModifiedABC,2.6263223004409135e-11
Sphere-2d,cahotic,ModifiedABC,1.5840297210145355e-10
Sphere-2d,cahotic,ModifiedABC,2.6350760314662753e-10
Sphere-2d,random,ABC/best/1,1.0078867192512915e-13
Sphere-2d,random,ABC/best/1,3.311801298551959e-10
Sphere-2d,random,ABC/best/1,2.3219256875720794e-09
Sphere-2d,random,ABC/best/1,4.628617963193091e-12
Sphere-2d,random,ABC/best/1,1.4508233019583586e-13
Sphere-2d,random,ABC/best/1,5.516580616859987e-11
Sphere-2d,random,ABC/best/1,1.154964421217924e-10
Sphere-2d,random,ABC/best/1,9.40788908923069e-10
Sphere-2d,random,ABC/best/1,2.54375079482984e-11
Sphere-2d,random,ABC/best/1,5.327777802436976e-10
Sphere-2d,random,ABC/best/1,4.5989961271295955e-11
Sphere-2d,random,ABC/best/1,1.7617532916015544e-13
Sphere-2d,random,ABC/best/1,1.9284413203831034e-10
Sphere-2d,random,ABC/best/1,1.1738622417107942e-10
Sphere-2d,random,ABC/best/1,1.3263057882362094e-10
Sphere-2d,cahotic,ABC/best/1,2.597416454219554e-11
Sphere-2d,cahotic,ABC/best/1,4.755940888235853e-11
Sphere-2d,cahotic,ABC/best/1,3.3527952894596874e-09
Sphere-2d,cahotic,ABC/best/1,3.462071792676326e-12
Sphere-2d,cahotic,ABC/best/1,2.9592942883159216e-12
Sphere-2d,cahotic,ABC/best/1,2.7885508195746427e-13
Sphere-2d,cahotic,ABC/best/1,4.738274348389677e-12
Sphere-2d,cahotic,ABC/best/1,3.1374777154348392e-12
Sphere-2d,cahotic,ABC/best/1,1.1905199239790653e-11
Sphere-2d,cahotic,ABC/best/1,9.27113675857422e-12
Sphere-2d,cahotic,ABC/best/1,1.2729057181735793e-11
Sphere-2d,cahotic,ABC/best/1,9.713525262659926e-13
Sphere-2d,cahotic,ABC/best/1,1.852841995817987e-11
Sphere-2d,cahotic,ABC/best/1,3.026212293211163e-11
Sphere-2d,cahotic,ABC/best/1,2.659677228841526e-10
Sphere-2d,random,ABC/best/2,2.1393580170789693e-12
Sphere-2d,random,ABC/best/2,1.9415127796498635e-10
Sphere-2d,random,ABC/best/2,2.2904318344089646e-11
Sphere-2d,random,ABC/best/2,1.8666815899226596e-10
Sphere-2d,random,ABC/best/2,5.694975023594169e-12
Sphere-2d,random,ABC/best/2,1.1568901466299233e-11
Sphere-2d,random,ABC/best/2,1.2007252715110175e-10
Sphere-2d,random,ABC/best/2,9.808208008860066e-12
Sphere-2d,random,ABC/best/2,4.1934110888119356e-11
Sphere-2d,random,ABC/best/2,1.8793950021563117e-10
Sphere-2d,random,ABC/best/2,3.157828964589591e-09
Sphere-2d,random,ABC/best/2,5.5901802292936054e-12
Sphere-2d,random,ABC/best/2,2.3097533350523522e-10
Sphere-2d,random,ABC/best/2,1.9040712809916506e-10
Sphere-2d,random,ABC/best/2,3.6712254752316e-10
Sphere-2d,cahotic,ABC/best/2,4.45183389950014e-12
Sphere-2d,cahotic,ABC/best/2,1.0528325486385377e-10
Sphere-2d,cahotic,ABC/best/2,1.9670463214807864e-09
Sphere-2d,cahotic,ABC/best/2,1.656163678010925e-11
Sphere-2d,cahotic,ABC/best/2,3.815383051870209e-10
Sphere-2d,cahotic,ABC/best/2,3.9449480515584636e-10
Sphere-2d,cahotic,ABC/best/2,6.778501181276679e-11
Sphere-2d,cahotic,ABC/best/2,2.7035501092955986e-12
Sphere-2d,cahotic,ABC/best/2,5.323372493613131e-11
Sphere-2d,cahotic,ABC/best/2,2.3782343515639885e-09
Sphere-2d,cahotic,ABC/best/2,1.4259943828891661e-10
Sphere-2d,cahotic,ABC/best/2,8.611903614921977e-11
Sphere-2d,cahotic,ABC/best/2,3.613951414319923e-10
Sphere-2d,cahotic,ABC/best/2,2.431105317759525e-10
Sphere-2d,cahotic,ABC/best/2,4.12585733395889e-11
Rosenbrock-2d,random,StandardABC,0.1024280689719212
Rosenbrock-2d,random,StandardABC,0.009385508924032079
Rosenbrock-2d,random,StandardABC,0.030645568842098844
Rosenbrock-2d,random,StandardABC,0.0005490598421709289
Rosenbrock-2d,random,StandardABC,0.10303091671721815
Rosenbrock-2d,random,StandardABC,0.04644596826114343
Rosenbrock-2d,random,StandardABC,0.010111988158974902
Rosenbrock-2d,random,StandardABC,0.08739126728424058
Rosenbrock-2d,random,StandardABC,0.11447827634698882
Rosenbrock-2d,random,StandardABC,0.0006595205685272087
Rosenbrock-2d,random,StandardABC,0.12243148776639029
Rosenbrock-2d,random,StandardABC,0.023869209200076427
Rosenbrock-2d,random,StandardABC,0.11327458928890158
Rosenbrock-2d,random,StandardABC,0.11371772231200708
Rosenbrock-2d,random,StandardABC,0.00016904933991543543
Rosenbrock-2d,cahotic,StandardABC,0.017442992692630766
