Function,Initialization,Mutation,OptValue
Sphere-2d,random,StandardABC,4.609125172164193e-14
Sphere-2d,random,StandardABC,5.14682015508029e-12
Sphere-2d,random,StandardABC,2.003653863756116e-12
Sphere-2d,random,StandardABC,1.7442451097601417e-13
Sphere-2d,random,StandardABC,7.444338776155779e-16
Sphere-2d,random,StandardABC,1.4322480377988547e-12
Sphere-2d,random,StandardABC,1.935904947594445e-13
Sphere-2d,random,StandardABC,9.415079985465752e-17
Sphere-2d,random,StandardABC,1.605784264112324e-14
Sphere-2d,random,StandardABC,1.3127182432770813e-15
Sphere-2d,random,StandardABC,4.2788438517754805e-16
Sphere-2d,random,StandardABC,3.282483837362289e-12
Sphere-2d,random,StandardABC,8.018862786526024e-14
Sphere-2d,random,StandardABC,2.655801963358287e-16
Sphere-2d,random,StandardABC,1.3122359614144128e-13
Sphere-2d,cahotic,StandardABC,4.41201413898826e-16
Sphere-2d,cahotic,StandardABC,9.12402641689306e-14
Sphere-2d,cahotic,StandardABC,6.480930308765879e-15
Sphere-2d,cahotic,StandardABC,2.1264734503485487e-12
Sphere-2d,cahotic,StandardABC,1.5060899090775927e-17
Sphere-2d,cahotic,StandardABC,6.992822795780146e-14
Sphere-2d,cahotic,StandardABC,2.1336542811564254e-15
Sphere-2d,cahotic,StandardABC,3.912555461685898e-16
Sphere-2d,cahotic,StandardABC,4.884850450816457e-14
Sphere-2d,cahotic,StandardABC,2.4032360182935737e-14
Sphere-2d,cahotic,StandardABC,2.018450764194365e-13
Sphere-2d,cahotic,StandardABC,1.0732389996588932e-15
Sphere-2d,cahotic,StandardABC,6.635163185510242e-17
Sphere-2d,cahotic,StandardABC,5.934427640089914e-12
Sphere-2d,cahotic,StandardABC,1.5925736862268094e-14
Sphere-2d,random,ModifiedABC,1.3460232014000595e-10
Sphere-2d,random,ModifiedABC,8.088838176805618e-13
Sphere-2d,random,ModifiedABC,5.6203553514122774e-12
Sphere-2d,random,ModifiedABC,1.0709035939425868e-13
Sphere-2d,random,ModifiedABC,6.177298107169125e-12
Sphere-2d,random,ModifiedABC,1.2342227961924644e-12
Sphere-2d,random,ModifiedABC,2.2181249743136936e-12
Sphere-2d,random,ModifiedABC,1.3091911570399735e-11
Sphere-2d,random,ModifiedABC,6.260149838153079e-10
Sphere-2d,random,ModifiedABC,1.527422006257056e-10
Sphere-2d,random,ModifiedABC,4.020387474154295e-10
Sphere-2d,random,ModifiedABC,1.359441756256477e-12
Sphere-2d,random,ModifiedABC,1.5664500804768472e-10
Sphere-2d,random,ModifiedABC,6.313061761345506e-13
Sphere-2d,random,ModifiedABC,2.8960623184771335e-14
Sphere-2d,cahotic,ModifiedABC,1.9161786801528368e-13
Sphere-2d,cahotic,ModifiedABC,8.558018099288569e-13
Sphere-2d,cahotic,ModifiedABC,2.222070938431568e-10
Sphere-2d,cahotic,ModifiedABC,9.27940838120645e-13
Sphere-2d,cahotic,ModifiedABC,5.683330258220243e-12
Sphere-2d,cahotic,ModifiedABC,1.3204542289040834e-10
Sphere-2d,cahotic,ModifiedABC,5.631534325469852e-12
Sphere-2d,cahotic,ModifiedABC,3.82541864593355e-13
Sphere-2d,cahotic,ModifiedABC,4.6713028961803303e-11
Sphere-2d,cahotic,ModifiedABC,2.4712184446637826e-13
Sphere-2d,cahotic,ModifiedABC,5.4770331839543585e-12
Sphere-2d,cahotic,ModifiedABC,5.0782491822076367e-11
Sphere-2d,cahotic,ModifiedABC,4.691295482725918e-11
Sphere-2d,cahotic,ModifiedABC,4.041111838038029e-10
Sphere-2d,cahotic,ModifiedABC,1.6676797196626928e-10
Sphere-2d,random,ABC/best/1,1.4969253743688124e-10
Sphere-2d,random,ABC/best/1,1.8971771306421337e-11
Sphere-2d,random,ABC/best/1,1.2258434239570683e-10
Sphere-2d,random,ABC/best/1,4.390994941547504e-11
Sphere-2d,random,ABC/best/1,3.218423899142895e-11
Sphere-2d,random,ABC/best/1,1.8692371049678973e-10
Sphere-2d,random,ABC/best/1,4.1993146044525396e-11
Sphere-2d,random,ABC/best/1,3.193481341875693e-09
Sphere-2d,random,ABC/best/1,1.2585886403372538e-10
Sphere-2d,random,ABC/best/1,1.8755670964190816e-10
Sphere-2d,random,ABC/best/1,9.637402375018719e-11
Sphere-2d,random,ABC/best/1,1.2979188284693856e-12
Sphere-2d,random,ABC/best/1,3.557512413935564e-12
Sphere-2d,random,ABC/best/1,4.065011053669642e-12
Sphere-2d,random,ABC/best/1,1.5839948379046634e-10
Sphere-2d,cahotic,ABC/best/1,3.662503560112599e-12
Sphere-2d,cahotic,ABC/best/1,2.357415123171688e-10
Sphere-2d,cahotic,ABC/best/1,5.013406255284187e-13
Sphere-2d,cahotic,ABC/best/1,6.484921708215387e-12
Sphere-2d,cahotic,ABC/best/1,1.855681294304688e-12
Sphere-2d,cahotic,ABC/best/1,7.441857542731175e-13
Sphere-2d,cahotic,ABC/best/1,1.3835295186562564e-10
Sphere-2d,cahotic,ABC/best/1,2.2427158634323402e-11
Sphere-2d,cahotic,ABC/best/1,1.5297054148927572e-11
Sphere-2d,cahotic,ABC/best/1,1.984702095766059e-11
Sphere-2d,cahotic,ABC/best/1,1.3192802582039437e-10
Sphere-2d,cahotic,ABC/best/1,1.5660385852344532e-10
Sphere-2d,cahotic,ABC/best/1,1.559056782147207e-10
Sphere-2d,cahotic,ABC/best/1,2.120274650484657e-14
Sphere-2d,cahotic,ABC/best/1,2.4529747125411765e-10
Sphere-2d,random,ABC/best/2,4.818073664785692e-10
Sphere-2d,random,ABC/best/2,1.6441335278576756e-10
Sphere-2d,random,ABC/best/2,1.5394807275191087e-11
Sphere-2d,random,ABC/best/2,1.667750827784228e-11
Sphere-2d,random,ABC/best/2,8.072109631376002e-10
Sphere-2d,random,ABC/best/2,1.6515734371827523e-10
Sphere-2d,random,ABC/best/2,7.549044075190297e-11
Sphere-2d,random,ABC/best/2,5.206077758582711e-10
Sphere-2d,random,ABC/best/2,9.6058364883017e-11
Sphere-2d,random,ABC/best/2,8.120368413311288e-10
Sphere-2d,random,ABC/best/2,5.450306048279113e-10
Sphere-2d,random,ABC/best/2,1.0063814655553167e-10
Sphere-2d,random,ABC/best/2,3.066390325557258e-10
Sphere-2d,random,ABC/best/2,3.700257552247394e-12
Sphere-2d,random,ABC/best/2,3.0972354964970865e-12
Sphere-2d,cahotic,ABC/best/2,1.1014898270512378e-09
Sphere-2d,cahotic,ABC/best/2,2.4612625600109135e-09
Sphere-2d,cahotic,ABC/best/2,1.6828728237674842e-10
Sphere-2d,cahotic,ABC/best/2,2.390426496428121e-10
Sphere-2d,cahotic,ABC/best/2,1.1624194292424634e-10
Sphere-2d,cahotic,ABC/best/2,1.1348216663431882e-09
Sphere-2d,cahotic,ABC/best/2,3.440157070069886e-12
Sphere-2d,cahotic,ABC/best/2,1.6372787603954195e-10
Sphere-2d,cahotic,ABC/best/2,3.893169503045246e-10
Sphere-2d,cahotic,ABC/best/2,8.449983493700415e-12
Sphere-2d,cahotic,ABC/best/2,4.441538034361948e-11
Sphere-2d,cahotic,ABC/best/2,2.1692984013282842e-13
Sphere-2d,cahotic,ABC/best/2,4.961471665485852e-11
Sphere-2d,cahotic,ABC/best/2,1.3110834837514252e-11
Sphere-2d,cahotic,ABC/best/2,2.8188304316985347e-10
Sphere-2d,random,DirectedABC,4.2436510886090317e-16
Sphere-2d,random,DirectedABC,1.0986912614272407e-13
Sphere-2d,random,DirectedABC,3.256140142221953e-15
Sphere-2d,random,DirectedABC,1.935064346434531e-14
Sphere-2d,random,DirectedABC,5.728832539629628e-15
Sphere-2d,random,DirectedABC,2.154999878836382e-12
Sphere-2d,random,DirectedABC,4.970016318790373e-13
Sphere-2d,random,DirectedABC,1.0829817075630631e-13
Sphere-2d,random,DirectedABC,4.1762763157318327e-13
Sphere-2d,random,DirectedABC,5.718786485134665e-15
Sphere-2d,random,DirectedABC,5.745110153611512e-13
Sphere-2d,random,DirectedABC,4.393203724240849e-14
Sphere-2d,random,DirectedABC,2.0558122540287884e-14
Sphere-2d,random,DirectedABC,9.173405147466748e-12
Sphere-2d,random,DirectedABC,2.155291470466729e-13
Sphere-2d,cahotic,DirectedABC,5.5477239953484563e-14
