Function,Initialization,Mutation,Mean,Std,Median,Best,Worst
Sphere-2d,random,StandardABC,8.33975132373649e-13,1.4830517885573334e-12,8.018862786526024e-14,9.415079985465752e-17,5.14682015508029e-12
Sphere-2d,cahotic,StandardABC,5.682215302412397e-13,1.526508144661602e-12,1.5925736862268094e-14,1.5060899090775927e-17,5.934427640089914e-12
Sphere-2d,random,ModifiedABC,1.0022139037175144e-10,1.768428932165098e-10,5.6203553514122774e-12,2.8960623184771335e-14,6.260149838153079e-10
Sphere-2d,cahotic,ModifiedABC,7.259580467383635e-11,1.113357602201659e-10,5.683330258220243e-12,1.9161786801528368e-13,4.041111838038029e-10
Sphere-2d,random,ABC/best/1,2.911233707650189e-10,7.784566151114937e-10,9.637402375018719e-11,1.2979188284693856e-12,3.193481341875693e-09
Sphere-2d,cahotic,ABC/best/1,7.564470449502154e-11,8.81217269471782e-11,1.984702095766059e-11,2.120274650484657e-14,2.4529747125411765e-10
Sphere-2d,random,ABC/best/2,2.7426400276569857e-10,2.7770968644875365e-10,1.6441335278576756e-10,3.0972354964970865e-12,8.120368413311288e-10
Sphere-2d,cahotic,ABC/best/2,4.1168812000686405e-10,6.52078885147369e-10,1.6372787603954195e-10,2.1692984013282842e-13,2.4612625600109135e-09
Sphere-2d,random,DirectedABC,8.900140451056729e-13,2.2765185962160264e-12,1.0829817075630631e-13,4.2436510886090317e-16,9.173405147466748e-12
Sphere-2d,cahotic,DirectedABC,3.2867863375723903e-12,9.884600536084546e-12,1.6810210430395102e-13,2.703692236558896e-16,4.008828496622901e-11
Rosenbrock-2d,random,StandardABC,0.056999323020820426,0.05046777753343598,0.052959560076418714,0.00035688411186120456,0.12793532251980302
Rosenbrock-2d,cahotic,StandardABC,0.001961614389389962,0.002745132131348173,0.0003970701232194858,2.00423432867257e-05,0.00893478313178638
Rosenbrock-2d,random,ModifiedABC,1.7738312131741838e-11,2.552031476723524e-11,2.2621967617408178e-12,4.168863826756874e-14,8.367035536385801e-11
Rosenbrock-2d,cahotic,ModifiedABC,3.4213732603457686e-11,1.091193640962328e-10,2.5600348099710527e-12,1.0103590309798305e-14,4.4171735108335357e-10
Rosenbrock-2d,random,ABC/best/1,1.1590298345070898e-16,2.3338035326693466e-16,6.346155358839195e-17,2.5693103764267597e-20,9.82683028032295e-16
Rosenbrock-2d,cahotic,ABC/best/1,0.00033098815698068897,0.0010371406154173139,8.051342361809866e-06,4.68434205402517e-08,0.004181977860933625
Rosenbrock-2d,random,ABC/best/2,3.514881859235436e-05,3.139434756636566e-05,2.6308995828739114e-05,2.8595760219951124e-07,9.501389625535382e-05
Rosenbrock-2d,cahotic,ABC/best/2,0.001257982427223467,0.0017623632843544207,0.0004255695785428267,9.725786369098286e-05,0.007147433444079361
Rosenbrock-2d,random,DirectedABC,0.054001553705486656,0.04388618350527348,0.04146589817268381,0.00029027591709546597,0.11798205630425446
Rosenbrock-2d,cahotic,DirectedABC,0.0012200886513265557,0.0008115700545866266,0.001101022957753652,5.068878245093793e-05,0.0026604106075407983
Ackley-2d,random,StandardABC,5.232739871037968e-10,9.139974531365156e-10,1.3381651342569967e-10,3.538502824085299e-12,3.5899425654406514e-09
Ackley-2d,cahotic,StandardABC,5.442013654525606e-10,1.1903764457056706e-09,1.3510614849110425e-10,3.751665644813329e-12,4.872738657013542e-09
Ackley-2d,random,ModifiedABC,1.3266528261131801e-08,1.3501056219300605e-08,7.67570540460838e-09,1.050700859650533e-09,5.753010512421497e-08
Ackley-2d,cahotic,ModifiedABC,8.757852043572712e-09,7.78413389493291e-09,8.13825096201981e-09,1.467199695071031e-10,2.913099805823549e-08
Ackley-2d,random,ABC/best/1,1.4232932462239964e-08,1.3800029671269454e-08,8.604956747149117e-09,1.0278249362727365e-09,5.757305032716431e-08
Ackley-2d,cahotic,ABC/best/1,1.3917315773899948e-08,1.3230456630933693e-08,9.844963955174535e-09,2.3587531927660166e-10,4.8252534412540626e-08
Ackley-2d,random,ABC/best/2,3.335030811513206e-08,3.4781382207985534e-08,2.435339396811287e-08,9.0803808916462e-10,1.2470765753391788e-07
Ackley-2d,cahotic,ABC/best/2,4.447472008450859e-08,2.9936331722544026e-08,3.771134160501788e-08,2.9421727276712772e-09,1.103055851103818e-07
Ackley-2d,random,DirectedABC,3.7049474599371024e-10,6.148621413243516e-10,8.833467290969566e-11,0.0,1.6529249080576847e-09
